date,availability,avg_alloc_mem,node_total,avg_cpus_load_lower,nodes,avg_cpus_load_upper,avg_free_mem_lower,avg_free_mem_upper,avg_job_size_lower,avg_job_size_upper,avg_memory,node_alloc,node_idle,avg_time_limit,cores,cpus,node_other
1674833100,1.0,86981.66666666667,1377.0,43.793333333333344,1377.0,99.08333333333333,203588.91666666666,233395.33333333334,200.0,700.0,240000.0,1364.0,13.0,129600.0,16.0,256.0,0.0
1674833400,1.0,86981.66666666667,1377.0,43.793333333333344,1377.0,99.08333333333333,203588.91666666666,233395.33333333334,200.0,700.0,240000.0,1364.0,13.0,129600.0,16.0,256.0,0.0
1674833700,1.0,86981.66666666667,1377.0,43.237500000000004,1377.0,95.80666666666667,204683.5,233712.75,200.0,700.0,240000.0,1357.0,20.0,129600.0,16.0,256.0,0.0
1674834000,1.0,86981.66666666667,1377.0,43.237500000000004,1377.0,95.80666666666667,204683.5,233712.75,200.0,700.0,240000.0,1357.0,20.0,129600.0,16.0,256.0,0.0
1674834300,1.0,86981.66666666667,1377.0,44.9175,1377.0,97.78416666666668,199524.08333333334,233854.0,200.0,700.0,240000.0,1324.0,53.0,129600.0,16.0,256.0,0.0
1674834600,1.0,86981.66666666667,1377.0,44.9175,1377.0,97.78416666666668,199524.08333333334,233854.0,200.0,700.0,240000.0,1324.0,53.0,129600.0,16.0,256.0,0.0
1674834900,1.0,86981.66666666667,1377.0,42.93083333333333,1377.0,96.2325,208018.66666666666,233580.91666666666,200.0,700.0,240000.0,1370.0,7.0,129600.0,16.0,256.0,0.0
1674835200,1.0,86981.66666666667,1377.0,42.93083333333333,1377.0,96.2325,208018.66666666666,233580.91666666666,200.0,700.0,240000.0,1370.0,7.0,129600.0,16.0,256.0,0.0
1674835500,1.0,86981.66666666667,1377.0,43.28,1377.0,92.29916666666666,201998.16666666666,233411.58333333334,200.0,700.0,240000.0,1365.0,12.0,129600.0,16.0,256.0,0.0
1674835800,1.0,86981.66666666667,1377.0,43.28,1377.0,92.29916666666666,201998.16666666666,233411.58333333334,200.0,700.0,240000.0,1365.0,12.0,129600.0,16.0,256.0,0.0
1674836100,1.0,86981.66666666667,1377.0,43.405,1377.0,89.16000000000001,206825.5,233560.0,200.0,700.0,240000.0,1363.0,14.0,129600.0,16.0,256.0,0.0
1674836400,1.0,86981.66666666667,1377.0,43.405,1377.0,89.16000000000001,206825.5,233560.0,200.0,700.0,240000.0,1363.0,14.0,129600.0,16.0,256.0,0.0
1674836700,1.0,94889.09090909091,1377.0,47.57909090909091,1377.0,86.68454545454546,204862.36363636365,230257.18181818182,200.0,700.0,240000.0,1377.0,0.0,129600.0,16.0,256.0,0.0
1674837000,1.0,94889.09090909091,1377.0,47.57909090909091,1377.0,86.68454545454546,204862.36363636365,230257.18181818182,200.0,700.0,240000.0,1377.0,0.0,129600.0,16.0,256.0,0.0
1674837300,1.0,94889.09090909091,1377.0,48.00727272727272,1377.0,86.76636363636364,204700.0,231281.81818181818,200.0,700.0,240000.0,1377.0,0.0,129600.0,16.0,256.0,0.0
1674837600,1.0,94889.09090909091,1377.0,48.00727272727272,1377.0,86.76636363636364,204700.0,231281.81818181818,200.0,700.0,240000.0,1377.0,0.0,129600.0,16.0,256.0,0.0
1674837900,1.0,94889.09090909091,1377.0,47.76909090909091,1377.0,87.93545454545455,200135.45454545456,231195.0,200.0,700.0,240000.0,1377.0,0.0,129600.0,16.0,256.0,0.0
1674838200,1.0,94889.09090909091,1377.0,47.76909090909091,1377.0,87.93545454545455,200135.45454545456,231195.0,200.0,700.0,240000.0,1377.0,0.0,129600.0,16.0,256.0,0.0
1674838500,1.0,94889.09090909091,1376.0,48.29363636363637,1376.0,87.0290909090909,204900.36363636365,230689.72727272726,200.0,700.0,240000.0,1376.0,0.0,129600.0,16.0,256.0,0.0
1674838800,1.0,94889.09090909091,1376.0,48.29363636363637,1376.0,87.0290909090909,204900.36363636365,230689.72727272726,200.0,700.0,240000.0,1376.0,0.0,129600.0,16.0,256.0,0.0
1674839100,1.0,86981.66666666667,1375.0,45.07333333333333,1375.0,88.9325,193309.33333333334,231300.5,200.0,700.0,240000.0,1373.0,2.0,129600.0,16.0,256.0,0.0
1674839400,1.0,86981.66666666667,1375.0,45.07333333333333,1375.0,88.9325,193309.33333333334,231300.5,200.0,700.0,240000.0,1373.0,2.0,129600.0,16.0,256.0,0.0
1674839700,1.0,94889.09090909091,1376.0,48.18272727272727,1376.0,87.76727272727273,201471.18181818182,230752.27272727274,200.0,700.0,240000.0,1376.0,0.0,129600.0,16.0,256.0,0.0
1674840000,1.0,94889.09090909091,1376.0,48.18272727272727,1376.0,87.76727272727273,201471.18181818182,230752.27272727274,200.0,700.0,240000.0,1376.0,0.0,129600.0,16.0,256.0,0.0
1674840300,1.0,94889.09090909091,1374.0,48.12454545454545,1374.0,87.70818181818181,205509.0909090909,230733.18181818182,200.0,700.0,240000.0,1374.0,0.0,129600.0,16.0,256.0,0.0
1674840600,1.0,94889.09090909091,1374.0,48.12454545454545,1374.0,87.70818181818181,205509.0909090909,230733.18181818182,200.0,700.0,240000.0,1374.0,0.0,129600.0,16.0,256.0,0.0
1674840900,1.0,94889.09090909091,1375.0,49.279090909090904,1375.0,88.13545454545455,203710.36363636365,230706.45454545456,200.0,700.0,240000.0,1375.0,0.0,129600.0,16.0,256.0,0.0
1674841200,1.0,94889.09090909091,1375.0,49.279090909090904,1375.0,88.13545454545455,203710.36363636365,230706.45454545456,200.0,700.0,240000.0,1375.0,0.0,129600.0,16.0,256.0,0.0
1674841500,1.0,94889.09090909091,1374.0,48.19090909090908,1374.0,78.67909090909092,203771.0,230701.45454545456,200.0,700.0,240000.0,1374.0,0.0,129600.0,16.0,256.0,0.0
1674841800,1.0,94889.09090909091,1374.0,48.19090909090908,1374.0,78.67909090909092,203771.0,230701.45454545456,200.0,700.0,240000.0,1374.0,0.0,129600.0,16.0,256.0,0.0
1674842100,1.0,85906.90909090909,1373.0,47.842727272727274,1373.0,92.89454545454545,199264.27272727274,230817.0,200.0,700.0,240000.0,1371.0,2.0,129600.0,16.0,256.0,0.0
1674842400,1.0,85906.90909090909,1373.0,47.842727272727274,1373.0,92.89454545454545,199264.27272727274,230817.0,200.0,700.0,240000.0,1371.0,2.0,129600.0,16.0,256.0,0.0
