job_id,time_limit,submit_time,priority,job_state,job_time_left,job_maximum_allocated_nodes,job_minimum_requested_cpus,job_minimum_requested_memory,job_queue_time,job_requested_allocated_cpus,job_start_time,job_allocated_minimum_requested_nodes,job_end_time,job_execution_time,job_maximum_allocated_cpus
SBaKDTZzSImxughrUapX7KOgbb7FNgf253wxsjffnLU=,1-12:00:00,2023-04-21T08:44:31,0.00000004563481,0.0,129600.0,32.0,128.0,240000.0,6018.0,4096.0,1682077024.0,32.0,1682206624.0,0.0,4096.0
SEYzrKg1_YRD4Ou7yHXcrJRp8r9RM9tq6TbJHtU4Zas=,1-12:00:00,2023-04-20T21:59:24,0.00000003143214,1.0,112129.0,64.0,32.0,81920.0,110353.0,16384.0,1682138317.0,64.0,1682267917.0,17471.0,16384.0
UfsJVh4P-rStjahuSo-OS_w055mCGg-0tK8Bi864FDY=,1-12:00:00,2023-04-20T17:41:28,0.00000003143214,1.0,119899.0,128.0,32.0,81920.0,50500.0,32768.0,1682062988.0,128.0,1682192588.0,9701.0,32768.0
Z_DAHCKErfgebTxR4KDP3Cie7N7iPmFs-VdRuq0K-Ns=,1-12:00:00,2023-04-20T21:52:32,0.00000002887100,1.0,112100.0,64.0,32.0,81920.0,99936.0,16384.0,1682127488.0,64.0,1682257088.0,17500.0,16384.0
_HUM3K5oXvn9Mt_fviN-FQI-4F8tItPT3lYgOGYWRnA=,1-12:00:00,2023-04-20T21:58:39,0.00000003143214,1.0,111981.0,64.0,32.0,81920.0,108450.0,16384.0,1682136369.0,64.0,1682265969.0,17619.0,16384.0
_p-ZVduNUTaKLym9gkyAX9aDNNiOkY2dzsgyQrnnqo8=,1-12:00:00,2023-04-20T21:53:36,0.00000002887100,1.0,111886.0,64.0,32.0,81920.0,100258.0,16384.0,1682127874.0,64.0,1682257474.0,17714.0,16384.0
ccSO_IZ4rkxegOI567SLA_l9tzRDIrKV4qdSwApuxr0=,1-11:59:00,2023-04-19T18:21:52,0.00000003003515,1.0,11890.0,40.0,1.0,240000.0,46627.0,10240.0,1681975139.0,40.0,1682104679.0,117650.0,10240.0
chaFSHGva13KSJWRvz4blC014aGMOiGYSR9mstUgyqw=,1-00:00:00,2023-04-19T10:23:06,0.00000004796311,0.0,86400.0,100.0,256.0,240000.0,1603.0,25600.0,1681962969.0,100.0,1682049369.0,0.0,25600.0
cyIhyyEzr1h_rRIou9QGEFOBtaqidm-1jAFWxa5Mf_I=,1-12:00:00,2023-04-20T12:20:57,0.00000004842877,1.0,103367.0,32.0,128.0,240000.0,2198.0,8192.0,1681995455.0,32.0,1682125055.0,26233.0,8192.0
fmMw2NYojsCG_6SkRVNKiR-OmzGL4gbVqnhuKxPqmy0=,1-12:00:00,2023-04-20T21:55:47,0.00000003143214,1.0,52475.0,64.0,32.0,81920.0,101618.0,16384.0,1682129365.0,64.0,1682258965.0,77125.0,16384.0
gETLGSgYTAUP-SaP0GlY298KHwOoQ7MEPbsVs5ukKNM=,1-12:00:00,2023-04-19T11:07:08,0.00000002887100,0.0,129600.0,64.0,8.0,102400.0,21160.0,8192.0,1681952604.0,64.0,1682082204.0,0.0,8192.0
i4Nm05CsX8Eqn0-FxNGF8kD39bEbQSup7dXmrpQTNgo=,1-12:00:00,2023-04-19T11:22:01,0.00000003143214,0.0,129600.0,64.0,8.0,102400.0,20267.0,8192.0,1681993006.0,64.0,1682122606.0,0.0,8192.0
j894YBVN4_dSo2RxQJtVgyC0L6fv388REYUa5J66-SQ=,1-12:00:00,2023-04-21T08:53:08,0.00000002887100,1.0,16736.0,64.0,8.0,102400.0,109536.0,16384.0,1682176724.0,64.0,1682306324.0,112864.0,16384.0
jGnew86yZywQIBDTBSLfErwr-RIzbw0fZ19HJyiwLBY=,1-12:00:00,2023-04-19T17:27:21,0.00000002887100,1.0,117989.0,64.0,8.0,102400.0,48236.0,16384.0,1681973477.0,64.0,1682103077.0,11611.0,16384.0
oJNY2cTjyHR4t2DKwG4EtJoeP8SN98Yjh3cv7gN-F7I=,1-12:00:00,2023-04-20T21:50:15,0.00000003143214,1.0,112072.0,64.0,32.0,81920.0,82645.0,16384.0,1682110060.0,64.0,1682239660.0,17528.0,16384.0
pGyzpXb8WuMJDVau0CWmwH2qi13gmSVhBsf0kt47Juk=,1-12:00:00,2023-04-21T08:54:19,0.00000002887100,1.0,17568.0,64.0,8.0,102400.0,122897.0,16384.0,1682190156.0,64.0,1682319756.0,112032.0,16384.0
sTKhlZhWmqGxRul_WapE-_sWAJmR1cyZatsVp0_Rn8U=,1-12:00:00,2023-04-19T11:17:06,0.00000002887100,0.0,129600.0,64.0,8.0,102400.0,20562.0,8192.0,1681961700.0,64.0,1682091300.0,0.0,8192.0
yRvMQbulF5IJLOznliTgI0ng__kyRs6el0AIZvlBU8M=,1-00:00:00,2023-04-19T10:51:03,0.00000004796311,0.0,86400.0,100.0,256.0,240000.0,5926.0,25600.0,1681923092.0,100.0,1682009492.0,0.0,25600.0
1k8vB2CNLHz_Z_3gNv0RM0659Po1bW0Hx4Q-7U39aoo=,1:00:00,2023-04-29T17:03:33,,0.0,3600.0,32.0,128.0,240000.0,975.0,4096.0,1682840624.0,32.0,1682844224.0,0.0,4096.0
3iza6tmecKp3LJzbVRxYB3BXFrAel2K9K1dQF-PSfJo=,1:00:00,2023-04-29T17:29:27,,1.0,13380.0,128.0,128.0,240000.0,8644.0,32768.0,1682798011.0,128.0,1682801611.0,202620.0,32768.0
3nFxYQeRsUifsZrZ0o6GkwcZeDbnInIU11nxYmcMftI=,1:00:00,2023-04-29T21:20:20,,1.0,6720.0,32.0,128.0,240000.0,35480.0,8192.0,1682838700.0,32.0,1682842300.0,209280.0,8192.0
9afaw3vqjDm1WVOVGcPi8oKKr1XURk1HCLjL-VE4NCo=,1-12:00:00,2023-04-30T08:56:59,,1.0,129432.0,20.0,1.0,32000.0,1.0,5120.0,1682845020.0,20.0,1682974620.0,10080.0,5120.0
AzzX60WW3OiwGoDL2jGi2z9CGDhuGjsCNq7M-TzZNQw=,18:00:00,2023-04-29T08:59:35,,0.0,0.0,40.0,1.0,240000.0,0.0,10240.0,1682758775.0,40.0,1682823584.0,64809.0,10240.0
DWlZY7e2oAEMlBD_xAVdceOQYxfS6DdYlBhyndnXVWs=,1:00:00,2023-04-29T17:03:34,,0.0,3600.0,32.0,128.0,240000.0,974.0,4096.0,1682840624.0,32.0,1682844224.0,0.0,4096.0
F5tcDeCzaUrfOabulKAn8ZwvceYO0hJeGSyux_lmhmY=,1:00:00,2023-04-29T17:28:50,,1.0,5700.0,32.0,128.0,240000.0,45753.0,8192.0,1682835083.0,32.0,1682838683.0,210300.0,8192.0
HPNnQGo18hhzd5hJlBifnMPfsYSn19rie_bJGuh3WiI=,1:00:00,2023-04-29T17:03:35,,0.0,3600.0,32.0,128.0,240000.0,973.0,4096.0,1682867532.0,32.0,1682871132.0,0.0,4096.0
IzRRmXby6svdaHiOWKY2kLHkhIbEaZYE9z8qEkOqn6I=,7:00:00,2023-04-29T10:39:17,,1.0,22170.0,40.0,1.0,153600.0,1.0,10240.0,1682764758.0,40.0,1682789958.0,181800.0,10240.0
NxzkpOO9BBQRWrCl5jXYCpQL56JQ_eWNzYGfxc9PHVU=,7:00:00,2023-04-29T15:41:29,,1.0,24620.0,40.0,1.0,153600.0,40720.0,10240.0,1682823609.0,40.0,1682848809.0,34800.0,10240.0
OhKz5eehE-_0g8u6hNrA4g12kjJiztBqvbDFl02eRbA=,1:00:00,2023-04-29T17:28:54,,1.0,0.0,32.0,128.0,240000.0,46853.0,8192.0,1682836187.0,32.0,1682839787.0,3601.0,8192.0
U5vmZfPh81HyaE0HbgHQ_fiqzA7Ts7e7Im2UoY5TT2c=,10:00:00,2023-04-29T17:03:23,,0.0,36000.0,32.0,128.0,240000.0,985.0,4096.0,1682840624.0,32.0,1682876624.0,0.0,4096.0
Wlq03Z4ABj_l2pCUt9_ESfBFxRsomp4k0wntP5WjnA4=,10:00:00,2023-04-29T16:43:40,,0.0,36000.0,32.0,128.0,240000.0,2168.0,4096.0,1682840624.0,32.0,1682876624.0,0.0,4096.0
azZynhnZYlTzC5SurijpdgAaMP5F0WofYK3qcnJB26o=,18:00:00,2023-04-30T10:26:17,,1.0,5400.0,40.0,1.0,240000.0,1.0,10240.0,1682850378.0,40.0,1682915178.0,64710.0,10240.0
c02d1r40QVlrgaIZ_UEZ5z1f64ZCgl0sd_lAfYS3u1M=,1-12:00:00,2023-04-29T11:39:31,,0.0,0.0,20.0,1.0,102400.0,1.0,5120.0,1682768372.0,20.0,1682897974.0,129602.0,5120.0
dmULx0hyCMAn3GGYv3oUcvIrApOF_xiXpsk-9jJ60cs=,1-12:00:00,2023-04-30T08:04:02,,1.0,126855.0,20.0,1.0,240000.0,1.0,5120.0,1682841843.0,20.0,1682971443.0,164700.0,5120.0
giRTzjix9PDsLM5rVEpmpzY5ms0i8hcjwyZp3aRP4D4=,1:00:00,2023-04-29T17:28:56,,1.0,34380.0,32.0,128.0,240000.0,48625.0,8192.0,1682837961.0,32.0,1682841561.0,181620.0,8192.0
